"";"Var1";"Freq"
"1";"230";26
"2";"231";3
"3";"232";3
"4";"233";1
"5";"234";6
"6";"235";8
"7";"236";1
"8";"237";2
"9";"238";2
"10";"239";2
"11";"240";4
"12";"241";1
"13";"242";9
"14";"243";44
"15";"244";3
"16";"245";6
"17";"246";4
"18";"247";8
"19";"248";2
"20";"249";1
"21";"250";4
"22";"251";2
"23";"252";4
"24";"253";4
"25";"254";2
"26";"255";5
"27";"256";4
"28";"257";2
"29";"259";10
"30";"260";1
"31";"261";3
"32";"262";4
"33";"263";1
"34";"264";1
"35";"266";1
"36";"267";5
"37";"269";1
"38";"270";3
"39";"271";4
"40";"272";1
"41";"274";1
"42";"275";3
"43";"277";1
"44";"278";2
"45";"279";4
"46";"280";1
"47";"281";4
"48";"282";1
"49";"284";2
"50";"285";2
"51";"286";2
"52";"287";1
"53";"288";2
"54";"289";3
"55";"291";8
"56";"292";4
"57";"293";2
"58";"294";6
"59";"295";3
"60";"296";3
"61";"297";1
"62";"298";5
"63";"299";2
"64";"300";1
"65";"301";3
"66";"303";4
"67";"304";7
"68";"305";9
"69";"306";3
"70";"307";4
"71";"308";4
"72";"309";4
"73";"310";3
"74";"311";4
"75";"312";12
"76";"313";1
"77";"314";9
"78";"315";2
"79";"316";11
"80";"317";6
"81";"318";5
"82";"319";1
"83";"321";3
"84";"323";6
"85";"324";10
"86";"325";21
"87";"326";3
"88";"327";4
"89";"328";6
"90";"329";13
"91";"330";25
"92";"331";20
"93";"332";28
"94";"333";10
"95";"334";19
"96";"335";23
"97";"336";10
"98";"337";22
"99";"338";7
"100";"339";11
"101";"340";6
"102";"341";13
"103";"342";13
"104";"343";7
"105";"344";10
"106";"345";14
"107";"346";9
"108";"347";3
"109";"348";8
"110";"349";7
"111";"350";13
"112";"351";35
"113";"352";16
"114";"353";16
"115";"354";16
"116";"355";18
"117";"356";13
"118";"357";17
"119";"358";40
"120";"359";31
"121";"360";54
"122";"361";32
"123";"362";29
"124";"363";355
"125";"364";104
"126";"365";90
"127";"366";133
"128";"367";103
"129";"368";73
"130";"369";84
"131";"370";297
"132";"371";599
"133";"372";324
"134";"373";283
"135";"374";371
"136";"375";495
"137";"376";614
"138";"377";923
"139";"378";2560
"140";"379";332
"141";"380";722
"142";"381";640
"143";"382";288
"144";"383";403
"145";"384";194
"146";"385";227
"147";"386";183
"148";"387";78
"149";"388";71
"150";"389";35
"151";"390";85
"152";"391";125
"153";"392";30
"154";"393";60
"155";"394";23
"156";"395";19
"157";"396";33
"158";"397";10
"159";"398";6
"160";"399";7
"161";"400";13
"162";"401";4
"163";"402";1
"164";"403";14
"165";"404";1
"166";"405";5
"167";"406";7
"168";"407";1
"169";"409";1
"170";"410";4
"171";"411";2
"172";"413";2
"173";"414";5
"174";"415";7
"175";"416";10
"176";"417";9
"177";"418";3
"178";"421";1
"179";"422";5
"180";"423";1
"181";"424";5
"182";"425";2
"183";"426";7
"184";"427";3
