"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"S01_C1A17";96038;64737;64449;64288;59914;57918;60,3
"S02_C1F18";87144;72658;71795;71808;69393;68573;78,7
"S03_C1A18";73976;61227;60093;60149;54815;48010;64,9
"S04_C2A17";70701;57236;57035;57082;56218;55850;79
"S05_C2F18";79975;67507;66758;66779;63942;61867;77,4
"S06_C2A18";83499;70459;69543;69582;65873;60557;72,5
"S07_C3A17";86841;70932;70632;70646;69356;67985;78,3
"S08_C3F18";93980;76969;76468;76452;74676;73440;78,1
"S09_C3A18";85108;65519;64179;64288;58094;52715;61,9
"S10_C4A17";80543;60104;59809;59865;56231;53598;66,5
"S11_C4F18";75556;62801;62247;62222;60352;59180;78,3
"S12_C4A18";74706;62075;60987;61317;57673;55590;74,4
"S13_F1A17";73542;60901;60061;60331;56316;53128;72,2
"S14_F1F18";71859;60824;60195;60280;57819;56597;78,8
"S15_F1A18";86165;71939;70940;71240;67556;61102;70,9
"S16_F2A17";75502;57963;57065;57361;54389;53145;70,4
"S17_F2F18";81498;69158;68440;68492;66074;65044;79,8
"S18_F2A18";89908;74134;73081;72904;68651;61810;68,7
"S19_F3A17";76898;56237;55684;55762;53408;51541;67
"S20_F3F18";87351;73761;72976;73019;69909;69486;79,5
"S21_F3A18";89056;73615;72930;73088;70345;65766;73,8
"S22_F4A17";73032;54035;53675;53688;49729;46445;63,6
"S23_F4F18";90657;76734;75927;75968;72827;72312;79,8
"S24_F4A18";91630;76995;75760;75887;70243;59786;65,2
"S25_H1A17";85435;70936;69909;70154;67017;64470;75,5
"S26_H1F18";89990;73397;72573;72849;70211;67632;75,2
"S27_H1A18";93414;79639;78425;78648;74631;71593;76,6
"S28_H2A17";75626;63324;62429;62648;60185;57923;76,6
"S29_H2F18";86305;69602;68878;69108;66107;64560;74,8
"S30_H2A18";94149;78413;76840;77381;72338;68587;72,8
"S31_H3A17";86834;70504;69462;69760;66588;64548;74,3
"S32_H3F18";92761;82009;81355;81564;79723;78896;85,1
"S33_H3A18";86338;74631;73269;73583;68304;63176;73,2
"S34_H4A17";76299;62908;61946;62221;59392;57517;75,4
"S35_H4F18";87176;72777;72264;72244;70043;67953;77,9
"S36_H4A18";86715;73383;72372;72604;69326;66669;76,9
"S39_P1F18";75392;64811;64134;64238;61669;59847;79,4
"S40_P1A18";87953;74643;72943;73231;68382;65710;74,7
"S41_P2F18";71283;61603;61059;61130;58805;57288;80,4
"S42_P3F18";85319;69775;69335;69341;66771;62463;73,2
"S43_P4F18";91750;72341;71363;71486;68371;65697;71,6
"S44_Q1A17";75250;62138;61447;61462;58854;57854;76,9
"S45_Q1F18";90121;70768;70450;70322;68470;66925;74,3
"S46_Q2A17";67839;56870;56197;56059;52541;51364;75,7
"S47_Q2F18";95679;77294;76945;76887;74723;74437;77,8
"S48_Q3A17";76328;56844;56077;56196;52321;51075;66,9
"S49_Q3F18";98357;79837;79407;79310;77890;77380;78,7
"S50_Q3A18";85076;71763;71267;71218;68425;66891;78,6
"S51_Q4A17";74855;60077;59122;59228;55683;54061;72,2
"S52_Q4F18";85955;68599;68357;68134;66872;66391;77,2
"S53_Q4A18";78771;66344;65994;66036;64121;63439;80,5
"S54_L1A17";87689;69707;68675;69014;66121;63649;72,6
"S55_L1F18";80355;65629;64861;64914;61982;59912;74,6
"S56_L1A18";87850;65557;65347;65282;63365;61774;70,3
"S57_L2A17";85987;70408;69398;69561;66216;61613;71,7
"S58_L2F18";102789;81773;81094;80934;78286;77816;75,7
"S59_L2A18";71969;61591;61341;61398;59813;58974;81,9
"S60_L3A17";71059;61779;60974;61071;57614;53559;75,4
"S61_L3F18";86552;69722;68315;68139;63902;60001;69,3
"S62_L3A18";92612;74852;74675;74624;73639;73090;78,9
"S63_L4A17";88523;71014;69923;70031;66630;63331;71,5
"S64_L4F18";89800;71042;70317;70263;67271;66014;73,5
"S65_L4A18";81415;69637;69053;69113;66404;64099;78,7
