"","Shannon","Site"
"S01_C1A17",2.26733162500023,"Chanaral"
"S02_C1F18",2.94429213107386,"Chanaral"
"S03_C1A18",2.60854349999089,"Chanaral"
"S04_C2A17",2.54031705969515,"Chanaral"
"S05_C2F18",3.01667989246809,"Chanaral"
"S06_C2A18",2.8843484091333,"Chanaral"
"S07_C3A17",1.79720634377214,"Chanaral"
"S08_C3F18",2.32655218111145,"Chanaral"
"S09_C3A18",3.86426889984189,"Chanaral"
"S10_C4A17",2.56253550605082,"Chanaral"
"S11_C4F18",2.79310491195384,"Chanaral"
"S12_C4A18",3.63890357995191,"Chanaral"
"S13_F1A17",3.0301457341457,"Flamenco"
"S14_F1F18",1.37934626859284,"Flamenco"
"S15_F1A18",2.8278682263071,"Flamenco"
"S16_F2A17",3.30173281471824,"Flamenco"
"S17_F2F18",2.13959057488994,"Flamenco"
"S18_F2A18",2.12942245841837,"Flamenco"
"S19_F3A17",2.83760140822919,"Flamenco"
"S20_F3F18",3.42468160202679,"Flamenco"
"S21_F3A18",2.74607576719775,"Flamenco"
"S22_F4A17",2.69163376164153,"Flamenco"
"S23_F4F18",3.33374324117689,"Flamenco"
"S24_F4A18",2.77744239043981,"Flamenco"
"S25_H1A17",1.95712503937956,"Huasco"
"S26_H1F18",1.46077542019053,"Huasco"
"S27_H1A18",1.75944821725244,"Huasco"
"S28_H2A17",1.50576643479651,"Huasco"
"S29_H2F18",1.69157203008099,"Huasco"
"S30_H2A18",1.84592830159475,"Huasco"
"S31_H3A17",1.90437137510069,"Huasco"
"S32_H3F18",1.62432529840421,"Huasco"
"S33_H3A18",1.70784824742668,"Huasco"
"S34_H4A17",2.46444447344744,"Huasco"
"S35_H4F18",1.56683392632745,"Huasco"
"S36_H4A18",2.3166487150781,"Huasco"
"S39_P1F18",2.34415787838372,"Pta_Choros"
"S40_P1A18",2.975984669319,"Pta_Choros"
"S41_P2F18",2.59223672113575,"Pta_Choros"
"S42_P3F18",2.29627890516702,"Pta_Choros"
"S43_P4F18",2.41024853421219,"Pta_Choros"
"S44_Q1A17",3.67317116281483,"Quintero"
"S45_Q1F18",2.23180928492289,"Quintero"
"S46_Q2A17",3.46775281179979,"Quintero"
"S47_Q2F18",2.44199917223418,"Quintero"
"S48_Q3A17",3.5559457262739,"Quintero"
"S49_Q3F18",2.59909008731353,"Quintero"
"S50_Q3A18",3.07182296565923,"Quintero"
"S51_Q4A17",3.66285284777268,"Quintero"
"S52_Q4F18",2.95589955457052,"Quintero"
"S53_Q4A18",2.39423036753157,"Quintero"
"S54_L1A17",1.81271455116664,"Las_Cruces"
"S55_L1F18",2.19166826408762,"Las_Cruces"
"S56_L1A18",2.34998709262245,"Las_Cruces"
"S57_L2A17",2.2690163338757,"Las_Cruces"
"S58_L2F18",2.41323065864761,"Las_Cruces"
"S59_L2A18",2.04824377595355,"Las_Cruces"
"S60_L3A17",2.08124419703472,"Las_Cruces"
"S61_L3F18",2.05774662379498,"Las_Cruces"
"S62_L3A18",2.44585106862968,"Las_Cruces"
"S63_L4A17",1.8974155405218,"Las_Cruces"
"S64_L4F18",2.10859157437722,"Las_Cruces"
"S65_L4A18",1.82573315410262,"Las_Cruces"
