"","Unbiased","Site"
"S01_C1A17",0.758815528806316,"Chanaral"
"S02_C1F18",0.884937140397267,"Chanaral"
"S03_C1A18",0.822596432197669,"Chanaral"
"S04_C2A17",0.860332871012511,"Chanaral"
"S05_C2F18",0.884150167510009,"Chanaral"
"S06_C2A18",0.889173285337943,"Chanaral"
"S07_C3A17",0.575957803063252,"Chanaral"
"S08_C3F18",0.829116106309148,"Chanaral"
"S09_C3A18",0.969967774610433,"Chanaral"
"S10_C4A17",0.899328333749184,"Chanaral"
"S11_C4F18",0.885185967495268,"Chanaral"
"S12_C4A18",0.954686447813481,"Chanaral"
"S13_F1A17",0.934919719022862,"Flamenco"
"S14_F1F18",0.538776661350843,"Flamenco"
"S15_F1A18",0.874557150422987,"Flamenco"
"S16_F2A17",0.930093710635404,"Flamenco"
"S17_F2F18",0.755178907269909,"Flamenco"
"S18_F2A18",0.692514814338116,"Flamenco"
"S19_F3A17",0.893529194538632,"Flamenco"
"S20_F3F18",0.953320996776748,"Flamenco"
"S21_F3A18",0.893162658267953,"Flamenco"
"S22_F4A17",0.905057091559624,"Flamenco"
"S23_F4F18",0.946740679538715,"Flamenco"
"S24_F4A18",0.851726180853824,"Flamenco"
"S25_H1A17",0.665468849101683,"Huasco"
"S26_H1F18",0.540806524020397,"Huasco"
"S27_H1A18",0.624692562043311,"Huasco"
"S28_H2A17",0.568739294421374,"Huasco"
"S29_H2F18",0.654009087005522,"Huasco"
"S30_H2A18",0.67221017178774,"Huasco"
"S31_H3A17",0.602988169144562,"Huasco"
"S32_H3F18",0.61289907213395,"Huasco"
"S33_H3A18",0.608405525869265,"Huasco"
"S34_H4A17",0.767068878488065,"Huasco"
"S35_H4F18",0.609065462421662,"Huasco"
"S36_H4A18",0.744274908593447,"Huasco"
"S39_P1F18",0.810798538677315,"Pta_Choros"
"S40_P1A18",0.911110158476411,"Pta_Choros"
"S41_P2F18",0.85182554530468,"Pta_Choros"
"S42_P3F18",0.831066720731144,"Pta_Choros"
"S43_P4F18",0.8315946821898,"Pta_Choros"
"S44_Q1A17",0.894697826826615,"Quintero"
"S45_Q1F18",0.788830526168296,"Quintero"
"S46_Q2A17",0.952924576027722,"Quintero"
"S47_Q2F18",0.837594099658234,"Quintero"
"S48_Q3A17",0.950563470421522,"Quintero"
"S49_Q3F18",0.873986252764201,"Quintero"
"S50_Q3A18",0.935338677612552,"Quintero"
"S51_Q4A17",0.93173634557298,"Quintero"
"S52_Q4F18",0.899314663373351,"Quintero"
"S53_Q4A18",0.836766580446017,"Quintero"
"S54_L1A17",0.665700748467921,"Las_Cruces"
"S55_L1F18",0.886397405622434,"Las_Cruces"
"S56_L1A18",0.869151532182136,"Las_Cruces"
"S57_L2A17",0.826107658757997,"Las_Cruces"
"S58_L2F18",0.864166357179519,"Las_Cruces"
"S59_L2A18",0.811471129497528,"Las_Cruces"
"S60_L3A17",0.830442279772852,"Las_Cruces"
"S61_L3F18",0.690721547615487,"Las_Cruces"
"S62_L3A18",0.84743908325372,"Las_Cruces"
"S63_L4A17",0.746741532494704,"Las_Cruces"
"S64_L4F18",0.701351452603368,"Las_Cruces"
"S65_L4A18",0.753856173629208,"Las_Cruces"
