"","Invsimpson","Site"
"S01_C1A17",4.3928833243348,"Chanaral"
"S02_C1F18",5.99893370954618,"Chanaral"
"S03_C1A18",4.92954091209809,"Chanaral"
"S04_C2A17",7.62032071149441,"Chanaral"
"S05_C2F18",9.75207570602455,"Chanaral"
"S06_C2A18",7.30344074017632,"Chanaral"
"S07_C3A17",2.73988896375452,"Chanaral"
"S08_C3F18",5.07332427233351,"Chanaral"
"S09_C3A18",25.5696432557987,"Chanaral"
"S10_C4A17",8.12756496349455,"Chanaral"
"S11_C4F18",7.63105420564459,"Chanaral"
"S12_C4A18",17.7433596782927,"Chanaral"
"S13_F1A17",11.037039778289,"Flamenco"
"S14_F1F18",1.85402247400495,"Flamenco"
"S15_F1A18",7.2716089476888,"Flamenco"
"S16_F2A17",13.3999868027733,"Flamenco"
"S17_F2F18",3.14498347983839,"Flamenco"
"S18_F2A18",2.90265706371021,"Flamenco"
"S19_F3A17",9.52165662468998,"Flamenco"
"S20_F3F18",12.3936996038666,"Flamenco"
"S21_F3A18",8.53215780340516,"Flamenco"
"S22_F4A17",9.97355228314021,"Flamenco"
"S23_F4F18",10.7977738490661,"Flamenco"
"S24_F4A18",5.54623475630426,"Flamenco"
"S25_H1A17",2.54555412752599,"Huasco"
"S26_H1F18",1.92811243050291,"Huasco"
"S27_H1A18",2.22528827418285,"Huasco"
"S28_H2A17",1.93776049379032,"Huasco"
"S29_H2F18",2.15998005998777,"Huasco"
"S30_H2A18",2.34202459533325,"Huasco"
"S31_H3A17",2.33668520806848,"Huasco"
"S32_H3F18",2.20341880401434,"Huasco"
"S33_H3A18",2.15415168925822,"Huasco"
"S34_H4A17",3.81987811964995,"Huasco"
"S35_H4F18",2.11579419837274,"Huasco"
"S36_H4A18",3.68245952156027,"Huasco"
"S39_P1F18",4.47274124147889,"Pta_Choros"
"S40_P1A18",7.02575396248394,"Pta_Choros"
"S41_P2F18",5.39227517580169,"Pta_Choros"
"S42_P3F18",5.03362845433766,"Pta_Choros"
"S43_P4F18",4.59105931109917,"Pta_Choros"
"S44_Q1A17",24.1572067423461,"Quintero"
"S45_Q1F18",5.53830022621819,"Quintero"
"S46_Q2A17",12.7765719128288,"Quintero"
"S47_Q2F18",4.71046598764894,"Quintero"
"S48_Q3A17",14.8729401998155,"Quintero"
"S49_Q3F18",5.74230256267896,"Quintero"
"S50_Q3A18",7.55613738447188,"Quintero"
"S51_Q4A17",16.0984809322111,"Quintero"
"S52_Q4F18",11.0139383594849,"Quintero"
"S53_Q4A18",4.01884583990908,"Quintero"
"S54_L1A17",2.72190192960678,"Las_Cruces"
"S55_L1F18",4.70742199264078,"Las_Cruces"
"S56_L1A18",5.3275769775424,"Las_Cruces"
"S57_L2A17",4.77294046344659,"Las_Cruces"
"S58_L2F18",5.00191770127402,"Las_Cruces"
"S59_L2A18",3.27530604547655,"Las_Cruces"
"S60_L3A17",3.73908624751374,"Las_Cruces"
"S61_L3F18",3.05555249492363,"Las_Cruces"
"S62_L3A18",4.50947772668693,"Las_Cruces"
"S63_L4A17",3.30331211493769,"Las_Cruces"
"S64_L4F18",2.98679953592381,"Las_Cruces"
"S65_L4A18",2.74984845306032,"Las_Cruces"
