"";"S.obs";"S.chao1";"se.chao1";"S.ACE";"se.ACE";"Site"
"S01_C1A17";61;61;0,495884703680465;61,2142857142857;2,68536347224271;"Chanaral"
"S02_C1F18";129;129,333333333333;0,92547144248845;129,51139943512;4,45473960032993;"Chanaral"
"S03_C1A18";115;115,5;1,29716223739742;115,464691381988;4,50515883591846;"Chanaral"
"S04_C2A17";24;24;0;24;2,44096975264614;"Chanaral"
"S05_C2F18";112;118;7,37954111843305;113,177668598304;4,54510721956419;"Chanaral"
"S06_C2A18";116;116;0,248920081344498;116,213232885961;4,34323771783001;"Chanaral"
"S07_C3A17";45;45;0;45;2,88289977472529;"Chanaral"
"S08_C3F18";100;100;0,248746859276655;100,147286821705;3,88765823236224;"Chanaral"
"S09_C3A18";167;167;0,0997001492500339;167,246671675432;4,94092714221291;"Chanaral"
"S10_C4A17";26;26;0;26;2,00959238117125;"Chanaral"
"S11_C4F18";110;111;1,81639734069925;111,129614758546;3,90773038371435;"Chanaral"
"S12_C4A18";166;173,5;8,1718197684806;168,352949011446;4,8291050710052;"Chanaral"
"S13_F1A17";107;107,25;0,736246020168837;107,561367927042;4,56959373713545;"Flamenco"
"S14_F1F18";78;78;0,49678453256404;78,2309145880574;3,358676167128;"Flamenco"
"S15_F1A18";111;111;0,248871326064167;111,145539906103;4,70460765246837;"Flamenco"
"S16_F2A17";114;114,333333333333;0,925363180681489;114,512209223542;4,36707579246344;"Flamenco"
"S17_F2F18";109;115;7,37858240184858;110,109198547567;4,47463949332269;"Flamenco"
"S18_F2A18";118;128,5;10,5649740673038;120,746024775169;4,75455512552765;"Flamenco"
"S19_F3A17";64;64,5;1,29567707001685;64,4398751300728;3,91835309238699;"Flamenco"
"S20_F3F18";138;147,333333333333;8,86325489323112;141,569615369777;4,94049281947454;"Flamenco"
"S21_F3A18";88;88;0,165716991319904;88,17903104;3,90274873113055;"Flamenco"
"S22_F4A17";36;36;0;36;2,82842712474619;"Flamenco"
"S23_F4F18";128;128;0;128;4,61570010940919;"Flamenco"
"S24_F4A18";121;121,142857142857;0,486798523223843;121,592126366747;4,76752158018796;"Flamenco"
"S25_H1A17";106;106,5;1,2970035889924;106,596519299222;3,91460122726504;"Huasco"
"S26_H1F18";106;106;0;106;4,1036109271603;"Huasco"
"S27_H1A18";113;113;0;113;4,34771835187799;"Huasco"
"S28_H2A17";90;90,3333333333333;0,92511512949712;90,494857556837;4,21927376948875;"Huasco"
"S29_H2F18";105;105;0,497613351528119;105,260319846051;3,74084694499505;"Huasco"
"S30_H2A18";106;106,333333333333;0,925292945141134;106,521881009265;4,1367890432109;"Huasco"
"S31_H3A17";112;112,5;1,29711217710728;112,519109138517;3,91653174828325;"Huasco"
"S32_H3F18";96;96;0,497389016096388;96,1442307692308;3,51348742085111;"Huasco"
"S33_H3A18";98;98;0,165814146156954;98,2266558548865;4,10695308220177;"Huasco"
"S34_H4A17";136;136;0,249079186558152;136,216841396767;4,2624097434724;"Huasco"
"S35_H4F18";94;95;2,33621376094785;94,5355364418289;3,67319596467846;"Huasco"
"S36_H4A18";123;123;0,124490832914214;123,207393198517;4,63325010003839;"Huasco"
"S39_P1F18";81;81;0;81;3,66498277832681;"Pta_Choros"
"S40_P1A18";157;162;5,53880189884263;158,904374076287;5,51615894197867;"Pta_Choros"
"S41_P2F18";96;96;0;96;3,97911212877111;"Pta_Choros"
"S42_P3F18";85;85;0;85;4,03805427810736;"Pta_Choros"
"S43_P4F18";92;92;0;92;3,95628284037472;"Pta_Choros"
"S44_Q1A17";89;89;0,248591538088063;89,1794905248184;4,0426385305047;"Quintero"
"S45_Q1F18";23;23;0;23;2,34056849281648;"Quintero"
"S46_Q2A17";112;112;0,497762852313084;112,146671964148;4,10262390565843;"Quintero"
"S47_Q2F18";52;52;0;52;2,4612379624271;"Quintero"
"S48_Q3A17";117;117;0,0995717325074236;117,214912159687;4,59807785679744;"Quintero"
"S49_Q3F18";76;76;0;76;3,06722916275294;"Quintero"
"S50_Q3A18";132;135,333333333333;4,12607946065314;135,131892908679;4,05745845194274;"Quintero"
"S51_Q4A17";113;113,5;1,29712915812707;113,377033147423;4,235069140634;"Quintero"
"S52_Q4F18";46;46;0;46;2,28416096288064;"Quintero"
"S53_Q4A18";101;101;0;101;2,18001725853828;"Quintero"
"S54_L1A17";57;57;0;57;2,62244027242874;"Las_Cruces"
"S55_L1F18";67;67;0,49625462891183;67,1785595101638;3,28636521833102;"Las_Cruces"
"S56_L1A18";52;52;0;52;1,92153784566105;"Las_Cruces"
"S57_L2A17";59;59;0,495744603464734;59,2529870277651;2,71864627612533;"Las_Cruces"
"S58_L2F18";101;101;0,248759297552497;101,213775409374;3,43639323565764;"Las_Cruces"
"S59_L2A18";66;67;2,33244474906967;66,884334427587;2,88232152668087;"Las_Cruces"
"S60_L3A17";67;67;0,49625462891183;67,1791044776119;3,08624869376335;"Las_Cruces"
"S61_L3F18";69;69;0;69;3,82213234362364;"Las_Cruces"
"S62_L3A18";63;64;2,3318447632722;64,3720856962823;2,14049092070304;"Las_Cruces"
"S63_L4A17";67;67;0;67;3,74564423647904;"Las_Cruces"
"S64_L4F18";103;103;0,248783447768326;103,161530491772;4,13504343085575;"Las_Cruces"
"S65_L4A18";98;98;0,497442438470861;98,1437125748503;4,23058320236394;"Las_Cruces"
