"";"Chlorophyta";"Alveolata";"Stramenopiles";"Cryptophyta";"Haptophyta";"Kathablepharidacea";"Prasinodermophyta"
"S01_C1A17";1087;164;8660;0;7688;6;0
"S02_C1F18";16118;5942;5624;1034;661;754;153
"S03_C1A18";17247;1983;4826;1795;558;644;107
"S04_C2A17";108;16;582;0;90;6;0
"S05_C2F18";3403;17037;14739;1079;466;260;87
"S06_C2A18";17243;3277;3903;1255;443;240;382
"S07_C3A17";594;364;8318;8;76;18;8
"S08_C3F18";1736;2306;37598;332;1382;77;25
"S09_C3A18";7175;7141;12353;1880;1332;645;315
"S10_C4A17";261;207;1367;6;58;0;0
"S11_C4F18";2394;1827;25852;670;1349;200;17
"S12_C4A18";9132;3514;11771;1906;1329;556;130
"S13_F1A17";4240;4567;2528;8128;1409;302;7
"S14_F1F18";1501;9811;25898;320;164;186;62
"S15_F1A18";19811;1253;1850;2156;230;49;418
"S16_F2A17";6387;631;2122;2037;1126;85;13
"S17_F2F18";3687;10619;16710;476;250;222;95
"S18_F2A18";25966;1933;2967;1855;219;69;106
"S19_F3A17";3092;58;534;588;361;46;0
"S20_F3F18";5381;8381;7388;1987;618;704;90
"S21_F3A18";18934;1107;1084;956;101;27;692
"S22_F4A17";1652;102;200;633;181;21;13
"S23_F4F18";5592;7853;7099;2098;597;669;57
"S24_F4A18";16868;2657;2800;3574;375;65;194
"S25_H1A17";28218;2940;1841;832;3349;0;125
"S26_H1F18";43316;3104;1781;1138;400;377;45
"S27_H1A18";32714;4194;3536;1787;619;26;49
"S28_H2A17";27796;1614;1073;684;2156;7;18
"S29_H2F18";36450;6715;1764;1940;432;255;41
"S30_H2A18";30005;5792;3914;2152;577;28;64
"S31_H3A17";26747;1280;2382;1899;1182;0;64
"S32_H3F18";52672;4969;2220;1984;639;230;64
"S33_H3A18";28162;3343;2616;1994;387;50;81
"S34_H4A17";30362;1462;4699;1965;1459;8;62
"S35_H4F18";45587;4994;2023;1413;438;124;72
"S36_H4A18";35105;1763;5826;2849;983;14;130
"S39_P1F18";27731;3246;4027;1413;149;318;32
"S40_P1A18";4504;7611;19408;544;406;62;344
"S41_P2F18";26256;4293;3716;2549;304;462;59
"S42_P3F18";31188;3575;4331;2667;259;219;56
"S43_P4F18";26800;5000;4429;1699;190;482;96
"S44_Q1A17";300;6966;9683;616;86;149;7
"S45_Q1F18";334;18933;622;348;2;0;0
"S46_Q2A17";3105;6873;12448;588;369;79;19
"S47_Q2F18";5005;1336;1289;1672;93;16;46
"S48_Q3A17";1727;4410;12084;806;547;99;25
"S49_Q3F18";6374;2740;1974;4048;126;22;51
"S50_Q3A18";17475;16444;7388;2086;1322;323;41
"S51_Q4A17";1922;3531;13341;367;613;41;43
"S52_Q4F18";1415;4581;1062;890;74;29;0
"S53_Q4A18";28908;8948;5721;1203;754;117;6
"S54_L1A17";18587;945;2081;662;32;178;10
"S55_L1F18";3161;13453;8811;332;12;27;54
"S56_L1A18";30557;7375;2210;1421;150;186;0
"S57_L2A17";14918;2368;9195;1209;77;303;10
"S58_L2F18";25475;7392;2615;1663;212;75;16
"S59_L2A18";24526;8561;2211;1715;249;196;0
"S60_L3A17";18666;6915;5425;901;64;388;0
"S61_L3F18";7933;730;1126;504;49;40;14
"S62_L3A18";32909;8644;5445;966;357;227;27
"S63_L4A17";20078;2521;5773;546;53;196;6
"S64_L4F18";19454;1907;2594;1051;152;117;37
"S65_L4A18";28144;7685;2400;1816;221;214;0
